question,reference,prediction,rouge1,rouge2,rougeL,bleu
What are the stages of pressure injuries?,"Stage 1 (redness), Stage 2 (partial thickness loss), Stage 3 (full thickness loss), Stage 4 (deep tissue loss).","Pressure injuries can be classified into four stages: Stage 1, Stage 2, Stage 3, and Stage 4.",0.4571,0.2424,0.4571,0.0
Is Hashimoto's syndrome inherited ?,"Is Hashimoto's syndrome inherited? The inheritance pattern of Hashimoto's syndrome is unclear because many genetic and environmental factors appear to be involved. However, the condition can cluster in families, and having a close relative with Hashimoto's syndrome or another autoimmune disorder likely increases a person's risk of developing the condition.","Hashimoto's disease is generally not inherited, although it can run in families. Some studies suggest that there may be an increased risk of developing Hashimoto's disease if both parents have the condition.",0.3864,0.1395,0.2727,0.0
What is (are) D-bifunctional protein deficiency ?,"D-bifunctional protein deficiency is a disorder that causes deterioration of nervous system functions (neurodegeneration) beginning in infancy. Newborns with D-bifunctional protein deficiency have weak muscle tone (hypotonia) and seizures. Most babies with this condition never acquire any developmental skills. Some may reach very early developmental milestones such as the ability to follow movement with their eyes or control their head movement, but they experience a gradual loss of these skills (developmental regression) within a few months. As the condition gets worse, affected children develop exaggerated reflexes (hyperreflexia), increased muscle tone (hypertonia), more severe and recurrent seizures (epilepsy), and loss of vision and hearing. Most children with D-bifunctional protein deficiency do not survive past the age of 2. A small number of individuals with this disorder are somewhat less severely affected. They may acquire additional basic skills, such as voluntary hand movements or unsupported sitting, before experiencing developmental regression, and they may survive longer into childhood than more severely affected individuals. Individuals with D-bifunctional protein deficiency may have unusual facial features, including a high forehead, widely spaced eyes (hypertelorism), a lengthened area between the nose and mouth (philtrum), and a high arch of the hard palate at the roof of the mouth. Affected infants may also have an unusually large space between the bones of the skull (fontanel). An enlarged liver (hepatomegaly) occurs in about half of affected individuals. Because these features are similar to those of another disorder called Zellweger syndrome (part of a group of disorders called the Zellweger spectrum), D-bifunctional protein deficiency is sometimes called pseudo-Zellweger syndrome.","D-bifunctional protein deficiency is an inherited disorder that affects muscle function, particularly in the muscles of the heart and lungs. People with this condition typically have weak or absent contractions of the heart's atria and ventricles (atrial and ventricular fibrillation), which can lead to sudden death if not treated promptly. Other features may include abnormal breathing patterns, shortness of breath, and difficulty breathing during physical activity. In some cases, people with D-bifunctional protein deficiency also experience developmental delays and intellectual disability.",0.2579,0.0807,0.1605,0.0
How many people are affected by mucopolysaccharidosis type II ?,"MPS II occurs in approximately 1 in 100,000 to 1 in 170,000 males.","Mucopolysaccharidosis type II is an inherited disorder that affects about 1 in 5,000 to 20,000 individuals worldwide. The prevalence of this condition varies among different populations; it occurs more frequently in certain ethnic groups such as Japanese Americans, African Americans, and Native Hawaiians.",0.2667,0.069,0.2,0.0
What is the mucociliary escalator and how does it prevent infection?,A mechanism in the respiratory tract that traps and removes microbes using mucus and cilia.,The mucociliary escalator prevents bacterial colonization by trapping bacteria in the respiratory tract.,0.3571,0.2308,0.2857,0.0
what research (or clinical trials) is being done for Attention Deficit-Hyperactivity Disorder ?,"Several components of the NIH support research on developmental disorders such as ADHD. Research programs of the NINDS, the National Institute of Mental Health (NIMH), and the National Institute of Child Health and Human Development (NICHD) seek to address unanswered questions about the causes of ADHD, as well as to improve diagnosis and treatment.","Research on ADHD continues to grow, with new treatments emerging every year.",0.1515,0.0312,0.1515,0.0
What is the main function of the respiratory system?,The main function of the respiratory system is to provide the body with oxygen and remove carbon dioxide.,"The respiratory system helps in breathing, oxygenation, and gas exchange by producing and expelling air.",0.303,0.1935,0.303,0.0
What to do for Medullary Sponge Kidney ?,"The following changes in diet may help prevent UTIs and kidney stone formation: - Drinking plenty of water and other liquids can help flush bacteria from the urinary tract and dilute urine so kidney stones cannot form. A person should drink enough liquid to produce about 2 to 2.5 quarts of urine every day.3 - Reducing sodium intake, mostly from salt, may help prevent kidney stones. Diets high in sodium can increase the excretion of calcium into the urine and thus increase the chance of calciumcontaining kidney stones forming. - Foods rich in animal proteins such as meat, eggs, and fish can increase the chance of uric acid stones and calcium stones forming. People who form stones should limit their meat consumption to 6 to 8 ounces a day.4 - People who are more likely to develop calcium oxalate stones should include 1,000 milligrams of calcium in their diet every day. Adults older than 50 years should consume 1,200 milligrams of calcium daily.3 Calcium in the digestive tract binds to oxalate from food and keeps it from entering the blood and the urinary tract, where it can form stones. People with medullary sponge kidney should talk with their health care provider or a dietitian before making any dietary changes. A dietitian can help a person plan healthy meals.","Medullary sponge kidney is a rare condition that affects children. It typically occurs in infants or young children, though it can occur at any age. Symptoms may include vomiting, diarrhea, lethargy, and developmental delay. Treatment depends on the specific signs and symptoms present.",0.1141,0.023,0.0608,0.0
What causes Childhood Nephrotic Syndrome ?,"While idiopathic, or unknown, diseases are the most common cause of primary childhood nephrotic syndrome, researchers have linked certain diseases and some specific genetic changes that damage the kidneys with primary childhood nephrotic syndrome. The cause of secondary childhood nephrotic syndrome is an underlying disease or infection. Called a primary illness, its this underlying disease or infection that causes changes in the kidney function that can result in secondary childhood nephrotic syndrome. Congenital diseasesdiseases that are present at birthcan also cause childhood nephrotic syndrome. Primary Childhood Nephrotic Syndrome The following diseases are different types of idiopathic childhood nephrotic syndrome: - Minimal change disease involves damage to the glomeruli that can be seen only with an electron microscope. This type of microscope shows tiny details better than any other microscope. Scientists do not know the exact cause of minimal change disease. Minimal change disease is the most common cause of idiopathic childhood nephrotic syndrome.1 - Focal segmental glomerulosclerosis is scarring in scattered regions of the kidney: - Focal means that only some of the glomeruli become scarred. - Segmental means damage affects only part of an individual glomerulus. - Membranoproliferative glomerulonephritis is a group of disorders involving deposits of antibodies that build up in the glomeruli, causing thickening and damage. Antibodies are proteins made by the immune system to protect the body from foreign substances such as bacteria or viruses. Secondary Childhood Nephrotic Syndrome Some common diseases that can cause secondary childhood nephrotic syndrome include - diabetes, a condition that occurs when the body cannot use glucosea type of sugarnormally - Henoch-Schnlein purpura, a disease that causes small blood vessels in the body to become inflamed and leak - hepatitis, inflammation of the liver caused by a virus - human immunodeficiency virus (HIV), a virus that alters the immune system - lupus, an autoimmune disease that occurs when the body attacks its own immune system - malaria, a disease of the blood that is spread by mosquitos - streptococcal infection, an infection that results when the bacteria that causes strep throat or a skin infection is left untreated Other causes of secondary childhood nephrotic syndrome can include certain medications, such as aspirin, ibuprofen, or other nonsteroidal anti-inflammatory drugs, and exposure to chemicals, such as mercury and lithium. Congenital Diseases and Childhood Nephrotic Syndrome Congenital nephrotic syndrome is rare and affects infants in the first 3 months of life.2 This type of nephrotic syndrome, sometimes called infantile nephrotic syndrome, can be caused by - inherited genetic defects, which are problems passed from parent to child through genes - infections at the time of birth More information about underlying diseases or infections that cause changes in kidney function is provided in the NIDDK health topic, Glomerular Diseases.","Childhood nephrotic syndrome is caused by an immune system disorder called autoimmune disease, which attacks the kidneys. The exact cause of childhood nephrotic syndrome is unknown.",0.1106,0.0556,0.0809,0.0
What is (are) Childhood Central Nervous System Germ Cell Tumors ?,"Key Points - Childhood central nervous system (CNS) germ cell tumors form from germ cells. - There are different types of childhood CNS germ cell tumors. - Germinomas - Nongerminomas - The cause of most childhood CNS germ cell tumors is not known. - Signs and symptoms of childhood CNS germ cell tumors include unusual thirst, frequent urination, early puberty, or vision changes. - Imaging studies and tests are used to detect (find) and diagnose childhood CNS germ cell tumors. - A biopsy may be done to be sure of the diagnosis of CNS germ cell tumor. - Certain factors affect prognosis (chance of recovery). Childhood central nervous system (CNS) germ cell tumors form from germ cells. Germ cells are a type of cell that form as a fetus (unborn baby) develops. These cells later become sperm in the testicles or eggs in the ovaries. Sometimes while the fetus is forming, germ cells travel to other parts of the body and grow into germ cell tumors. Germ cells tumors that form in the brain or spinal cord are called CNS germ cell tumors. The most common places for one or more central nervous system (CNS) germ cell tumors to form is near the pineal gland and in an area of the brain that includes the pituitary gland and the tissue just above it. Sometimes germ cell tumors may form in other areas of the brain. This summary is about germ cell tumors that start in the central nervous system (brain and spinal cord). Germ cell tumors may also form in other parts of the body. See the PDQ summary on Childhood Extracranial Germ Cell Tumors Treatment for information on germ cell tumors that are extracranial (outside the brain). CNS germ cell tumors usually occur in children, but may occur in adults. Treatment for children may be different than treatment for adults. See the following PDQ summaries for information about treatment for adults: - Adult Central Nervous System Tumors Treatment - Extragonadal Germ Cell Tumors Treatment For information about other types of childhood brain and spinal cord tumors, see the PDQ summary on Childhood Brain and Spinal Cord Tumors Treatment Overview. There are different types of childhood CNS germ cell tumors. There are different types of CNS germ cell tumors. The type of CNS germ cell tumor depends on what the cells look like under a microscope. This summary is about the treatment of the following types of CNS germ cell tumors: Germinomas Germinomas are the most common type of CNS germ cell tumor and have a good prognosis. Nongerminomas Some nongerminomas make hormones. CNS teratomas are a type of nongerminoma that does not make hormones. They may have different kinds of tissue in them, such as hair, muscle, and bone. Teratomas are described as mature or immature, based on how normal the cells look under a microscope. Sometimes teratomas are a mix of mature and immature cells. Other types of nongerminomas include the following: - Choriocarcinomas make the hormone beta-human chorionic gonadotropin (-hCG). - Embryonal carcinomas do not make hormones. - Yolk sac tumors make the hormone alpha-fetoprotein (AFP). - Mixed germ cell tumors are made of more than one kind of germ cell.","Childhood central nervous system germ cell tumors are rare, but they can occur in children who have had certain infections or conditions. These include:

- Cytomegalovirus infection

- Herpes simplex virus type 1 infection

- Epstein-Barr virus infection

- Human immunodeficiency virus (HIV)

- Mumps

- Rubella

- Varicella-zoster virus infection

The exact cause of childhood central nervous system germ cell tumors is unknown. However, it may be related to an inherited genetic condition called neurofibromatosis type 2 (NF2). This condition causes tumors that form in the brain and spinal cord.

In some cases, the tumor cells appear to arise from normal cells in the brain. In other cases, the tumor cells develop from abnormal cells that grow out of control. The abnormal cells usually do not spread to other parts of the body.",0.2523,0.108,0.1538,0.0
Which side effect of pilocarpine may indicate excessive parasympathetic activation?,Severe salivation and sweating,Dry mouth or dry skin,0.0,0.0,0.0,0.0
What is aseptic technique?,A method to prevent the transfer of microorganisms during medical procedures.,Aseptic technique refers to sterile procedures performed in an environment free from contamination by microorganisms.,0.2308,0.0,0.1538,0.0
